coin,rsi,macd,macd_signal,macd_hist,run_id,timestamp,price,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,buy_points,ema,macd_line,sell_points
BTC,78.04419848916116,,112.02530944810164,23.686708421406053,,,29799.88,29642.31395029477,29736.293,29830.27204970522,1.0,29730.232667619355,135.7120178695077,0.0
ETH,70.39609989530022,,5.402793622707126,0.07745659638908,,,1871.945,1867.8344332058,1871.8,1875.7655667942,1.0,1871.3728184089416,5.480250219096206,0.0
DOGE,55.60068584077463,,0.000167249122852,-6.417250409515433e-06,,,0.07784,0.0777447171698002,0.077957,0.0781692828301997,0.0,0.0779168637763983,0.0001608318724425,1.0
SHIB,64.53324172153127,,2.2065760723104212e-08,-1.0690940342562936e-10,,,8.405e-06,8.394452763012208e-06,8.413e-06,8.431547236987793e-06,0.0,8.409401319665114e-06,2.1958851319678586e-08,1.0
ETC,69.72250743525741,,0.0540232813926967,0.0028265031024669,,,18.5255,18.50275620343813,18.528231885000004,18.55370756656188,1.0,18.522180494056965,0.0568497844951636,0.0
UNI,48.495338975644174,,0.012945573181011,-0.0026386034475895,,,6.64,6.625010254025412,6.656700000000001,6.68838974597459,0.0,6.651705739238898,0.0103069697334214,1.0
AAVE,84.87622667149428,,0.3545568101130912,0.102469429265359,,,66.57507375,65.59232095829712,66.20767655,66.82303214170288,1.0,66.25401482321705,0.4570262393784503,0.0
LTC,48.40069790174827,,0.1609902869229581,-0.0354373456925481,,,93.54,93.28097052969976,93.7625333,94.24409607030024,0.0,93.6939529738902,0.1255529412304099,1.0
LINK,62.8819587071987,,0.0268892977881699,-0.0004000407349426,,,7.618,7.603874597673777,7.63024824,7.656621882326223,0.0,7.624520492990533,0.0264892570532273,1.0
COMP,59.720807106865735,,0.3263615814273996,-0.0015613227646233,,,65.817699,65.41794520276531,65.8118953,66.2058453972347,0.0,65.80748058523557,0.3248002586627763,1.0
BTC,71.14263025976825,,116.50442007915724,17.916442524222404,,,29747.065,29646.0300144029,29728.843,29811.655985597103,1.0,29735.84344507957,134.42086260337965,0.0
ETH,63.9212365307851,,5.347447343409343,-0.2213851171911329,,,1869.815,1869.2389686615625,1870.643,1872.0470313384376,0.0,1870.8535456059608,5.12606222621821,1.0
DOGE,52.503996826320346,,0.0001618671870705,-2.1527743842915183e-05,,,0.07777,0.0777327887403808,0.077882,0.0780312112596191,0.0,0.0778679091842655,0.0001403394432276,1.0
SHIB,64.53324172153128,,2.1767319687860936e-08,-1.1937641409730972e-09,,,8.405e-06,8.400000000007312e-06,8.408e-06,8.415999999992687e-06,0.0,8.407934213110075e-06,2.057355554688784e-08,1.0
ETC,57.24536028445691,,0.0534270590402905,-0.0023848894096247,,,18.476,18.475173620252537,18.51293875,18.550703879747463,0.0,18.506786996037977,0.0510421696306657,1.0
UNI,53.07958974152905,,0.0122064962422973,-0.002956307754855,,,6.6505,6.630771847528584,6.650499999999999,6.670228152471415,0.0,6.651303826159266,0.0092501884874423,1.0
AAVE,86.96970351656483,,0.3840467950924672,0.1179599399175036,,,66.850091,65.78569091153275,66.41769475000001,67.04969858846727,1.0,66.4527068821447,0.5020067350099708,0.0
LTC,43.92013640648267,,0.1465505788692311,-0.0577588322149082,,,93.38,93.31624251502927,93.5965333,93.87682408497074,0.0,93.58930198259348,0.0887917466543228,1.0
LINK,57.873354089189455,,0.026285126408242,-0.0024166855197116,,,7.608,7.601890498672938,7.62134824,7.640805981327063,0.0,7.619013661993689,0.0238684408885303,1.0
COMP,65.84957807849362,,0.3313839668352442,0.0200895416144988,,,66.28894,65.39367661746353,65.92406330000001,66.4544499825365,1.0,65.96796705682371,0.3514735084497431,0.0
AVAX,60.37779961317516,,0.0335673784917838,-0.000443748474002,,,12.859,12.853858748998162,12.878,12.902141251001838,0.0,12.87356044137636,0.0331236300177817,1.0
XLM,72.11412582115209,,0.0006321305355651,0.0001594270357938,,,0.15436699,0.1535683446923804,0.154098039,0.1546277333076195,1.0,0.1541104836296453,0.0007915575713589,0.0
BCH,62.49212747555645,,0.744126452682588,0.0799419975684311,,,245.135,244.3760445555405,245.285,246.1939554444595,1.0,245.3053618837739,0.8240684502510192,0.0
XTZ,81.36519148735397,,0.0040416079011736,0.0006189061625601,,,0.8458,0.8448229350769283,0.845557926,0.8462929169230717,1.0,0.8452328414460542,0.0046605140637338,0.0
BTC,71.18782936016733,,119.59289881271984,12.35391493425044,,,29747.935,29662.75048789901,29739.242,29815.733512100986,1.0,29739.873963386384,131.9468137469703,0.0
ETH,62.59674186132771,,5.228728184958948,-0.4748766338015802,,,1869.36,1868.655927019519,1870.403,1872.150072980481,0.0,1870.3556970706409,4.753851551157368,1.0
DOGE,51.18818119392233,,0.0001535520792647,-3.326043055911301e-05,,,0.07774,0.0776939275552573,0.077832,0.0779700724447426,0.0,0.0778252727895103,0.0001202916487056,1.0
SHIB,66.52653112627553,,2.1344378502750163e-08,-1.6917647239932031e-09,,,8.41e-06,8.402101020526298e-06,8.407e-06,8.4118989794737e-06,0.0,8.408622808740051e-06,1.9652613778756963e-08,1.0
ETC,57.32842764947844,,0.0519316978157671,-0.0059814448980933,,,18.4765,18.458767833758696,18.50303875,18.5473096662413,0.0,18.496691330691988,0.0459502529176738,1.0
UNI,56.64188656771544,,0.0115721488813013,-0.002537389443984,,,6.6595,6.633564234813317,6.6491,6.6646357651866825,0.0,6.654035884106177,0.0090347594373172,1.0
