symbol,asset_currency,display_only,id,market_orders_only,max_order_size,min_order_price_increment,min_order_quantity_increment,min_order_size,name,quote_currency,rebate,tradability
BTC-USD,,False,3d961844-d360-45fc-989b-f6fca761d511,False,20.0000000000000000,0.010000000000000000,0.000000010000000000,0.000001000000000000,Bitcoin to US Dollar,,0.003500000000000000,tradable
ETH-USD,,False,76637d50-c702-4ed1-bcb5-5b0732a81f48,False,280.0000000000000000,0.010000000000000000,0.000001000000000000,0.000100000000000000,Ethereum to US Dollar,,0.003500000000000000,tradable
ADA-USD,,False,6f2afc32-702e-41ad-b232-ed26b77c1943,False,500000.0000000000000000,0.000100000000000000,0.010000000000000000,0.100000000000000000,Cardano to US Dollar,,0.003500000000000000,tradable
DOGE-USD,,False,1ef78e1b-049b-4f12-90e5-555dcf2fe204,False,6500000.0000000000000000,0.000001000000000000,0.010000000000000000,1.000000000000000000,Dogecoin to US Dollar,,0.003500000000000000,tradable
MATIC-USD,,False,b668301c-44f9-4fbf-88e4-8140846f15ba,False,434783.0000000000000000,0.000001000000000000,0.000100000000000000,0.010000000000000000,Polygon to US Dollar,,0.003500000000000000,tradable
SHIB-USD,,False,2d189ddb-bc0d-4aa4-bd6b-cd72e6679cd0,False,26821636120.0000000000000000,0.000000010000000000,1.000000000000000000,500.000000000000000000,Shiba Inu to US Dollar,,0.003500000000000000,tradable
ETC-USD,,False,7b577ce3-489d-4269-9408-796a0d1abb3a,False,2300.0000000000000000,0.010000000000000000,0.000001000000000000,0.010000000000000000,Ethereum Classic to US Dollar,,0.003500000000000000,tradable
UNI-USD,,False,33316259-af8c-4f31-86a4-c5c07e12d625,False,50000.0000000000000000,0.001000000000000000,0.010000000000000000,0.010000000000000000,Uniswap to US Dollar,,0.003500000000000000,tradable
AAVE-USD,,False,f649e71a-543b-4fd8-9faa-bc6c2c9e3d21,False,3300.0000000000000000,0.010000000000000000,0.000100000000000000,0.000100000000000000,Aave to US Dollar,,0.003500000000000000,tradable
LTC-USD,,False,383280b1-ff53-43fc-9c84-f01afd0989cd,False,2200.0000000000000000,0.010000000000000000,0.000000010000000000,0.001000000000000000,Litecoin to US Dollar,,0.003500000000000000,tradable
LINK-USD,,False,9f0a3a2e-e72e-4361-bf15-91d962487922,False,35000.0000000000000000,0.010000000000000000,0.010000000000000000,0.010000000000000000,Chainlink to US Dollar,,0.003500000000000000,tradable
COMP-USD,,False,715af4b3-26d0-4cd0-ad07-7a1cf5dc734a,False,6083.0000000000000000,0.010000000000000000,0.000100000000000000,0.000100000000000000,Compound to US Dollar,,0.003500000000000000,tradable
USDC-USD,,False,3a3d9131-b627-4782-95e6-aeb874558e99,True,250000.0000000000000000,0.010000000000000000,0.010000000000000000,0.010000000000000000,USD Coin to US Dollar,,0.000000000000000000,tradable
SOL-USD,,False,0cdc8c93-fbda-462f-94b7-26353d87a009,False,7470.0000000000000000,0.010000000000000000,0.000010000000000000,0.000100000000000000,Solana to US Dollar,,0.003500000000000000,tradable
AVAX-USD,,False,f62a25b6-31c0-4c92-846d-3c8105627b62,False,125000.0000000000000000,0.010000000000000000,0.001000000000000000,0.001000000000000000,Avalanche to US Dollar,,0.003500000000000000,tradable
XLM-USD,,False,7a04fe7a-e3a8-4a07-8c35-d0fec9f35569,False,2250000.0000000000000000,0.000001000000000000,1.000000000000000000,1.000000000000000000,Stellar Lumens to US Dollar,,0.003500000000000000,tradable
BCH-USD,,False,2f2b77c4-e426-4271-ae49-18d5cb296d3a,False,750.0000000000000000,0.010000000000000000,0.000000010000000000,0.001000000000000000,Bitcoin Cash to US Dollar,,0.003500000000000000,tradable
XTZ-USD,,False,022bb5c2-d394-4e1c-a8c0-5b16ce1eab8d,False,180000.0000000000000000,0.001000000000000000,0.001000000000000000,0.010000000000000000,Tezos to US Dollar,,0.003500000000000000,tradable
