ticker,current_price,historical_prices,buying_power,min_order_size,coin_holdings,updated_at,current_equity,previous_equity,daily_profit,rsi,macd,sma,ema,ma200,ma50,ma20,macd_signal,macd_hist,upper_band,lower_band
BTC,26486.15249221923,"[27123.738845814314, 25742.729507411284, 27242.507431165875, 26353.20859953287, 26513.666498077542, 26486.15249221923, 26486.15249221923]",25.37,1e-08,0.000545,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,43.823334935103084,-63.913138778027275,26616.33750264295,26550.24108007239,,,,-100.81674073422786,36.90360195620059,,
ETH,1840.36881421,"[1890.24211952, 1811.3812151814775, 1884.9145307600002, 1832.30155778, 1846.0207682300002, 1840.36881421, 1840.36881421]",25.37,1e-18,0.002215,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,43.76059385448355,-5.160357324560939,1848.7948970379998,1846.4484456730006,,,,-7.362717844887991,2.2023605203270513,,
ADA,0.294589035,"[0.377451745, 0.351583645, 0.35313672, 0.322343055, 0.322986415, 0.294589035, 0.294589035]",25.37,1e-06,0.11,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,44.148210666043546,-0.009090746739456585,0.31752885200000003,0.31516864586419757,,,,-0.008075076118698349,-0.0010156706207582362,,
DOGE,0.06946323245305,"[0.07249213, 0.066479551128, 0.07026123672594, 0.06728823, 0.06796542, 0.06946323245305, 0.06946323245305]",25.37,0.01,211.16,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,60.18551465223642,-0.00033017993713701534,0.068888270326408,0.0692140032680746,,,,-0.0006407470354019893,0.00031056709826497394,,
MATIC,0.723236843905465,"[0.89250149, 0.83555602, 0.82200053048768, 0.764783986715, 0.780917398044, 0.723236843905465, 0.723236843905465]",25.37,1e-18,0.0,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,32.501311231115295,-0.018494183075518363,0.762835120611522,0.7621788220539836,,,,-0.017682631439991995,-0.0008115516355263683,,
SHIB,7.86393e-06,"[8.6043e-06, 7.973985e-06, 8.174085e-06, 7.873935e-06, 7.94397e-06, 7.86393e-06, 7.86393e-06]",25.37,0.01,100747.0,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,43.75798899672427,-8.004217238029331e-08,7.943969999999998e-06,7.967026790123458e-06,,,,-1.0133508855760824e-07,2.129291617731493e-08,,
ETC,16.944203496565777,"[18.22426806, 17.00858181, 17.58533667494915, 16.9080518, 16.99033464, 16.944203496565773, 16.944203496565773]",25.37,1e-06,0.008577,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,43.74851510730905,-0.13939868183810597,17.07442602161614,17.10488644854143,,,,-0.1798290886266826,0.04043040678857662,,
UNI,4.581897227242,"[5.014067425912, 4.725447601424, 4.76793213267624, 4.551933171252, 4.630268420757305, 4.581897227242, 4.581897227242]",25.37,1e-18,0.0,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,43.740186116953794,-0.047678518149780164,4.622785635833909,4.642595247842714,,,,-0.057934072908753326,0.010255554758973162,,
AAVE,60.006223494572,"[62.76977213428, 59.886952383566, 61.748634492662, 59.151714520554, 59.792358956036, 60.006223494572, 60.006223494572]",25.37,1e-18,0.0,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,60.00864165776441,-0.3085189539882114,60.1410309916792,60.24225113381242,,,,-0.41746474062247874,0.10894578663426735,,
LTC,89.239998495216,"[94.2079454935802, 87.76766952145367, 90.93939680213731, 88.87308186530025, 88.53353262596745, 89.239998495216, 89.239998495216]",25.37,1e-08,0.136776,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,45.92965074450386,-0.5356705111341604,89.36520165676741,89.58250725822612,,,,-0.7997207580767274,0.26405024694256696,,
LINK,5.990757378846,"[6.4556512609585, 6.05905235112117, 6.26571470353937, 5.91800351253, 5.99461178781, 5.990757378846, 5.990757378846]",25.37,1e-18,0.01,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,43.802840952283525,-0.051752411779859314,6.0319689523142745,6.04605860922549,,,,-0.06507640207038648,0.013323990290527166,,
COMP,32.227274371965,"[35.44760199267, 32.547317640280006, 33.772741851665, 32.16018859648107, 31.949429164065, 32.227274371965, 32.227274371965]",25.37,1e-18,0.0092,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,45.976801132298334,-0.3586983270842926,32.46738167122822,32.57801145433642,,,,-0.4610199730090708,0.10232164592477822,,
USDC,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",25.37,1e-18,0.0092,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,50.0,0.0,1.0,1.0,,,,0.0,0.0,,
SOL,17.31335161607739,"[21.82896808493692, 20.030110549757055, 20.376544590534884, 18.645151699540495, 18.89043684, 17.31335161607739, 17.31335161607739]",25.37,1e-09,0.0,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,44.21513594123173,-0.4909957772234409,18.507767272446035,18.395908286655864,,,,-0.45875522336404917,-0.03224055385939173,,
AVAX,13.75487895,"[14.7855141, 13.87748985511795, 14.63326029, 14.01696937, 13.92590694, 13.75487895, 13.75487895]",25.37,1e-09,0.0,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,29.72140521742739,-0.11122109452938081,14.0171789,13.959800810142355,,,,-0.11954163273288773,0.008320538203506922,,
XLM,0.08901103598804,"[0.091410274288, 0.08787373608398, 0.08974771212537, 0.08735327585, 0.0870402324276, 0.08901103598804, 0.08901103598804]",25.37,1e-08,0.0,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,46.02652655754821,-0.00028794570873903,0.08843265847581,0.08876455120668605,,,,-0.000492925761622375,0.00020498005288334506,,
BCH,110.81823501938,"[115.639429697558, 108.8443848694048, 114.890728277796, 111.15141513002801, 111.83363885121418, 110.81823501938, 110.81823501938]",25.37,1e-08,0.00086668,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,43.85210489451475,-0.493715189097343,111.90245045955965,111.60633586000128,,,,-0.6488973914006531,0.15518220230331004,,
XTZ,0.731,"[0.9135505, 0.8560239, 0.88056146, 0.84462574, 0.841723, 0.82624398, 0.731]",25.37,1e-06,0.09,2023-06-10 19:30:20.450965,125.2639,125.192,0.0719000000000136,14.015805415061976,-0.015601933954158521,0.824830836,0.811153098655693,,,,-0.011803434734413386,-0.0037984992197451356,,
BTC,26486.1524922192275,"[27123.738845814314, 25742.729507411284, 27242.507431165875, 26353.20859953287, 26513.666498077542, 26486.15249221923, 26486.15249221923]",25.3700,1e-08,0.000545,2023-06-10 19:30:20.450965,125.2639,125.192,0.07190000000001362,43.823334935103084,-63.913138778027275,26616.33750264295,26550.24108007239,,,,-100.81674073422786,36.90360195620059,,
ETH,1840.36881421,"[1890.24211952, 1811.3812151814775, 1884.9145307600002, 1832.30155778, 1846.0207682300002, 1840.36881421, 1840.36881421]",25.3700,1e-18,0.002215,2023-06-10 19:30:20.450965,125.2639,125.192,0.07190000000001362,43.76059385448355,-5.160357324560939,1848.7948970379998,1846.4484456730006,,,,-7.362717844887991,2.2023605203270513,,
ADA,0.294589035,"[0.377451745, 0.351583645, 0.35313672, 0.322343055, 0.322986415, 0.294589035, 0.294589035]",25.3700,1e-06,0.11,2023-06-10 19:30:20.450965,125.2639,125.192,0.07190000000001362,44.148210666043546,-0.009090746739456585,0.31752885200000003,0.31516864586419757,,,,-0.008075076118698349,-0.0010156706207582362,,
DOGE,0.06946323245305,"[0.07249213, 0.066479551128, 0.07026123672594, 0.06728823, 0.06796542, 0.06946323245305, 0.06946323245305]",25.3700,0.01,211.16,2023-06-10 19:30:20.450965,125.2639,125.192,0.07190000000001362,60.18551465223642,-0.00033017993713701534,0.068888270326408,0.0692140032680746,,,,-0.0006407470354019893,0.00031056709826497394,,
MATIC,0.723236843905465,"[0.89250149, 0.83555602, 0.82200053048768, 0.764783986715, 0.780917398044, 0.723236843905465, 0.723236843905465]",25.3700,1e-18,0.0,2023-06-10 19:30:20.450965,125.2639,125.192,0.07190000000001362,32.501311231115295,-0.018494183075518363,0.762835120611522,0.7621788220539836,,,,-0.017682631439991995,-0.0008115516355263683,,
SHIB,0.00000786393,"[8.6043e-06, 7.973985e-06, 8.174085e-06, 7.873935e-06, 7.94397e-06, 7.86393e-06, 7.86393e-06]",25.3700,0.01,100747.0,2023-06-10 19:30:20.450965,125.2639,125.192,0.07190000000001362,43.75798899672427,-8.004217238029331e-08,7.943969999999998e-06,7.967026790123458e-06,,,,-1.0133508855760824e-07,2.129291617731493e-08,,
ETC,16.944203496565775,"[18.22426806, 17.00858181, 17.58533667494915, 16.9080518, 16.99033464, 16.944203496565773, 16.944203496565773]",25.3700,1e-06,0.008577,2023-06-10 19:30:20.450965,125.2639,125.192,0.07190000000001362,43.74851510730905,-0.13939868183810597,17.07442602161614,17.10488644854143,,,,-0.1798290886266826,0.04043040678857662,,
UNI,4.581897227242,"[5.014067425912, 4.725447601424, 4.76793213267624, 4.551933171252, 4.630268420757305, 4.581897227242, 4.581897227242]",25.3700,1e-18,0.0,2023-06-10 19:30:20.450965,125.2639,125.192,0.07190000000001362,43.740186116953794,-0.047678518149780164,4.622785635833909,4.642595247842714,,,,-0.057934072908753326,0.010255554758973162,,
AAVE,60.006223494572,"[62.76977213428, 59.886952383566, 61.748634492662, 59.151714520554, 59.792358956036, 60.006223494572, 60.006223494572]",25.3700,1e-18,0.0,2023-06-10 19:30:20.450965,125.2639,125.192,0.07190000000001362,60.00864165776441,-0.3085189539882114,60.1410309916792,60.24225113381242,,,,-0.41746474062247874,0.10894578663426735,,
LTC,89.239998495216,"[94.2079454935802, 87.76766952145367, 90.93939680213731, 88.87308186530025, 88.53353262596745, 89.239998495216, 89.239998495216]",25.3700,1e-08,0.136776,2023-06-10 19:30:20.450965,125.2639,125.192,0.07190000000001362,45.92965074450386,-0.5356705111341604,89.36520165676741,89.58250725822612,,,,-0.7997207580767274,0.26405024694256696,,
LINK,5.990757378846,"[6.4556512609585, 6.05905235112117, 6.26571470353937, 5.91800351253, 5.99461178781, 5.990757378846, 5.990757378846]",25.3700,1e-18,0.01,2023-06-10 19:30:20.450965,125.2639,125.192,0.07190000000001362,43.802840952283525,-0.051752411779859314,6.0319689523142745,6.04605860922549,,,,-0.06507640207038648,0.013323990290527166,,
COMP,32.227274371965,"[35.44760199267, 32.547317640280006, 33.772741851665, 32.16018859648107, 31.949429164065, 32.227274371965, 32.227274371965]",25.3700,1e-18,0.0092,2023-06-10 19:30:20.450965,125.2639,125.192,0.07190000000001362,45.976801132298334,-0.3586983270842926,32.46738167122822,32.57801145433642,,,,-0.4610199730090708,0.10232164592477822,,
USDC,1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",25.3700,1e-18,0.0092,2023-06-10 19:30:20.450965,125.2639,125.192,0.07190000000001362,50.0,0.0,1.0,1.0,,,,0.0,0.0,,
